@relation originalUserId_trainingSubsetId_mapping

@attribute original_id numeric
@attribute training_subset_id numeric

@data
1333, 1
3321, 2
3998, 3
5980, 4
10268, 5
10374, 6
10679, 7
11043, 8
12812, 9
16272, 10
16273, 11
17864, 12
21823, 13
27061, 14
43530, 15
43751, 16
46650, 17
48607, 18
49585, 19
49890, 20
53694, 21
55339, 22
57186, 23
57633, 24
66109, 25
70476, 26
71594, 27
71743, 28
74320, 29
74441, 30
75976, 31
76196, 32
78404, 33
91234, 34
97578, 35
97893, 36
101807, 37
107776, 38
108936, 39
109177, 40
110938, 41
111033, 42
111086, 43
121182, 44
122197, 45
125296, 46
128311, 47
128389, 48
136477, 49
138835, 50
147386, 51
151004, 52
151153, 53
151821, 54
152858, 55
154669, 56
155342, 57
157667, 58
159159, 59
165247, 60
165374, 61
166041, 62
168523, 63
170248, 64
170551, 65
178860, 66
182203, 67
184705, 68
184888, 69
187896, 70
188613, 71
189887, 72
194528, 73
197101, 74
199257, 75
199435, 76
200255, 77
200427, 78
200805, 79
206893, 80
219888, 81
221926, 82
224795, 83
227799, 84
230112, 85
230265, 86
232877, 87
235789, 88
236160, 89
237263, 90
238740, 91
240748, 92
240923, 93
241634, 94
242681, 95
243612, 96
247794, 97
248904, 98
250509, 99
256676, 100
257622, 101
262411, 102
265257, 103
272840, 104
275600, 105
277837, 106
279966, 107
282654, 108
282887, 109
285174, 110
286684, 111
287566, 112
290700, 113
290916, 114
302344, 115
303948, 116
305344, 117
306466, 118
306569, 119
307427, 120
309424, 121
310887, 122
315168, 123
316155, 124
317779, 125
318409, 126
319058, 127
320314, 128
320856, 129
322009, 130
325073, 131
325844, 132
326356, 133
327122, 134
328212, 135
329958, 136
332300, 137
332698, 138
334643, 139
340479, 140
341649, 141
342510, 142
347276, 143
348960, 144
349331, 145
349572, 146
356615, 147
360005, 148
361886, 149
364749, 150
366233, 151
371701, 152
374741, 153
377937, 154
380505, 155
383451, 156
386947, 157
387418, 158
388514, 159
391521, 160
394895, 161
397212, 162
399971, 163
400440, 164
401047, 165
402266, 166
403915, 167
407037, 168
407877, 169
408457, 170
408645, 171
411290, 172
411512, 173
411705, 174
414536, 175
416560, 176
427186, 177
428688, 178
429260, 179
431326, 180
432259, 181
437586, 182
438340, 183
441361, 184
442963, 185
447759, 186
452299, 187
452667, 188
455024, 189
461075, 190
461110, 191
462171, 192
467182, 193
472734, 194
476695, 195
478176, 196
485601, 197
486798, 198
490057, 199
491331, 200
491513, 201
491531, 202
492291, 203
499257, 204
503235, 205
504211, 206
504440, 207
504620, 208
507094, 209
507603, 210
507921, 211
510834, 212
511883, 213
511899, 214
515436, 215
515441, 216
517441, 217
518137, 218
522180, 219
524142, 220
524295, 221
525071, 222
525356, 223
530789, 224
545026, 225
549534, 226
551208, 227
554137, 228
555528, 229
567705, 230
567875, 231
572481, 232
574834, 233
575714, 234
576990, 235
578191, 236
580231, 237
581952, 238
589682, 239
594196, 240
595778, 241
595870, 242
596255, 243
596995, 244
601317, 245
603277, 246
603543, 247
608234, 248
608538, 249
612111, 250
620010, 251
620741, 252
624388, 253
629389, 254
635056, 255
636262, 256
637266, 257
638020, 258
642384, 259
647979, 260
651230, 261
651541, 262
652618, 263
655385, 264
655601, 265
659526, 266
663118, 267
670416, 268
670488, 269
682963, 270
683254, 271
684531, 272
684876, 273
685565, 274
686204, 275
686510, 276
689488, 277
691808, 278
700490, 279
701443, 280
701962, 281
702403, 282
706832, 283
716091, 284
716173, 285
716874, 286
717542, 287
720503, 288
722591, 289
723448, 290
727242, 291
732363, 292
743633, 293
748141, 294
752642, 295
752853, 296
753107, 297
753231, 298
754161, 299
758383, 300
759737, 301
760481, 302
764785, 303
768876, 304
769702, 305
774602, 306
775020, 307
778615, 308
779811, 309
780768, 310
785992, 311
786312, 312
789014, 313
789969, 314
794999, 315
798296, 316
817339, 317
818752, 318
819314, 319
823802, 320
825353, 321
825819, 322
826184, 323
826270, 324
826696, 325
827240, 326
828344, 327
828349, 328
828444, 329
830370, 330
831103, 331
832780, 332
835265, 333
835353, 334
835847, 335
837133, 336
838130, 337
844028, 338
844049, 339
847313, 340
860520, 341
862040, 342
862596, 343
864172, 344
864647, 345
867311, 346
872408, 347
873713, 348
877394, 349
879760, 350
883478, 351
885386, 352
890573, 353
892694, 354
893014, 355
894205, 356
901520, 357
904391, 358
908205, 359
920932, 360
922551, 361
922812, 362
922922, 363
923517, 364
923631, 365
924960, 366
929308, 367
929407, 368
935732, 369
936093, 370
940516, 371
942523, 372
946380, 373
952063, 374
952156, 375
952582, 376
953110, 377
953604, 378
954742, 379
956229, 380
958687, 381
962019, 382
962151, 383
965104, 384
968184, 385
973313, 386
974174, 387
974823, 388
980292, 389
981199, 390
981753, 391
983069, 392
992021, 393
998236, 394
998502, 395
1001129, 396
1001928, 397
1002509, 398
1002943, 399
1007577, 400
1009622, 401
1018379, 402
1026933, 403
1028463, 404
1029163, 405
1030857, 406
1033433, 407
1033930, 408
1034831, 409
1037245, 410
1037705, 411
1038880, 412
1039555, 413
1042938, 414
1044050, 415
1045879, 416
1047830, 417
1054564, 418
1057992, 419
1060057, 420
1061195, 421
1065445, 422
1072312, 423
1072585, 424
1073300, 425
1086481, 426
1087416, 427
1087944, 428
1092521, 429
1092677, 430
1099833, 431
1103080, 432
1105029, 433
1105686, 434
1106241, 435
1107588, 436
1109043, 437
1109700, 438
1110156, 439
1110164, 440
1112365, 441
1114324, 442
1114342, 443
1115451, 444
1116080, 445
1117152, 446
1119113, 447
1120091, 448
1123175, 449
1123618, 450
1130133, 451
1130380, 452
1132940, 453
1134379, 454
1139570, 455
1143750, 456
1146000, 457
1147641, 458
1150705, 459
1156852, 460
1161725, 461
1166912, 462
1167767, 463
1172980, 464
1173289, 465
1174530, 466
1174811, 467
1177340, 468
1178846, 469
1179117, 470
1181550, 471
1181558, 472
1181609, 473
1184498, 474
