@relation originalMovieId_trainingSubsetId_mapping

@attribute original_id numeric
@attribute training_subset_id numeric

@data
28, 1
30, 2
58, 3
83, 4
108, 5
111, 6
118, 7
143, 8
148, 9
175, 10
187, 11
191, 12
197, 13
199, 14
223, 15
241, 16
252, 17
257, 18
269, 19
270, 20
273, 21
290, 22
295, 23
299, 24
311, 25
312, 26
313, 27
329, 28
330, 29
331, 30
334, 31
353, 32
357, 33
361, 34
406, 35
413, 36
442, 37
443, 38
457, 39
468, 40
473, 41
482, 42
483, 43
494, 44
516, 45
528, 46
550, 47
571, 48
607, 49
658, 50
660, 51
692, 52
705, 53
708, 54
720, 55
746, 56
758, 57
759, 58
788, 59
789, 60
798, 61
831, 62
851, 63
862, 64
872, 65
886, 66
896, 67
937, 68
940, 69
962, 70
963, 71
985, 72
989, 73
1020, 74
1027, 75
1035, 76
1046, 77
1066, 78
1073, 79
1102, 80
1110, 81
1138, 82
1144, 83
1145, 84
1148, 85
1174, 86
1180, 87
1202, 88
1220, 89
1255, 90
1267, 91
1289, 92
1305, 93
1307, 94
1314, 95
1324, 96
1367, 97
1406, 98
1425, 99
1428, 100
1435, 101
1466, 102
1467, 103
1470, 104
1495, 105
1509, 106
1542, 107
1561, 108
1571, 109
1578, 110
1585, 111
1590, 112
1595, 113
1615, 114
1625, 115
1637, 116
1642, 117
1645, 118
1650, 119
1659, 120
1661, 121
1682, 122
1700, 123
1703, 124
1709, 125
1719, 126
1744, 127
1754, 128
1770, 129
1798, 130
1799, 131
1810, 132
1832, 133
1833, 134
1843, 135
1861, 136
1865, 137
1877, 138
1890, 139
1901, 140
1902, 141
1905, 142
1918, 143
1962, 144
1974, 145
1975, 146
1983, 147
2000, 148
2001, 149
2009, 150
2012, 151
2015, 152
2016, 153
2095, 154
2112, 155
2122, 156
2128, 157
2136, 158
2139, 159
2152, 160
2153, 161
2162, 162
2163, 163
2171, 164
2172, 165
2178, 166
2186, 167
2192, 168
2200, 169
2209, 170
2252, 171
2254, 172
2290, 173
2342, 174
2348, 175
2360, 176
2371, 177
2372, 178
2376, 179
2389, 180
2391, 181
2395, 182
2400, 183
2430, 184
2443, 185
2452, 186
2456, 187
2457, 188
2462, 189
2465, 190
2470, 191
2495, 192
2499, 193
2554, 194
2577, 195
2578, 196
2580, 197
2594, 198
2612, 199
2617, 200
2660, 201
2675, 202
2680, 203
2690, 204
2699, 205
2734, 206
2743, 207
2751, 208
2755, 209
2779, 210
