@relation movidId_ratesCount_avgRate

@attribute movie_id numeric
@attribute ratings_count numeric
@attribute rating_avg numeric

@data
5317, 232944, 3.36
15124, 216596, 3.72
14313, 200832, 3.78
15205, 196397, 3.44
1905, 193941, 4.15
6287, 193295, 3.91
11283, 181508, 4.3
16377, 181426, 4.31
16242, 178068, 3.45
12470, 177556, 3.41
15582, 176539, 3.54
9340, 173596, 3.4
6972, 171991, 3.58
12317, 164792, 3.77
2152, 162597, 3.43
3860, 160454, 3.43
15107, 160326, 3.89
6037, 158601, 3.97
4432, 156183, 3.76
5496, 155714, 3.72
571, 154832, 3.96
14538, 154640, 3.55
14367, 154348, 3.53
3938, 153996, 4.14
12232, 152406, 3.37
7624, 152085, 3.83
11064, 152078, 4.09
4996, 151847, 3.48
4306, 151292, 4.33
11521, 151245, 4.46
7234, 151031, 3.81
13728, 150592, 4.2
2452, 149866, 4.43
6386, 148146, 3.21
12911, 147661, 3.64
13050, 147313, 3.36
8782, 147251, 3.28
13081, 147236, 3.62
17169, 145540, 3.81
1962, 145519, 3.75
16954, 144320, 4.33
6206, 143697, 3.75
12582, 143682, 3.86
16879, 143668, 3.71
7617, 141442, 3.7
8644, 141073, 3.79
3962, 140979, 4.42
14691, 140763, 4.23
14454, 140564, 3.76
1145, 140154, 3.18
14550, 139660, 4.59
3624, 139428, 3.95
12672, 139247, 3.63
11677, 139158, 3.35
16384, 138193, 4.08
2372, 137170, 3.91
17355, 136919, 3.58
3427, 136850, 3.33
12155, 136461, 3.91
2782, 135601, 4.29
12918, 135449, 3.79
3106, 135431, 3.65
13651, 135013, 3.71
14240, 134284, 4.55
1220, 134241, 4.01
10947, 133457, 4.31
9756, 132358, 3.29
6134, 132237, 3.68
14410, 132142, 3.87
17157, 131175, 4.3
4656, 130782, 3.81
11089, 130243, 4.28
14621, 128493, 4.34
2862, 128446, 4.31
5862, 127318, 3.85
14712, 127073, 3.22
6971, 126816, 4.07
11149, 125878, 3.15
6692, 125479, 3.38
17088, 124158, 3.79
5401, 122795, 3.37
4640, 122158, 4.13
4123, 121769, 3.45
12161, 121761, 3.69
5926, 121669, 4.03
1307, 121207, 3.31
8904, 120697, 4.16
16668, 119812, 4.02
14149, 119653, 3.77
13462, 118884, 3.36
8387, 118880, 3.59
30, 118413, 3.76
10042, 118212, 4.5
16882, 117314, 3.14
3282, 117270, 3.43
11337, 116767, 3.74
457, 116762, 3.87
6844, 116716, 3.25
10583, 116609, 3.55
3151, 116362, 3.4
14103, 115990, 4.19
10550, 115585, 3.72
1542, 114997, 3.76
4745, 114327, 3.21
15755, 114043, 3.89
14312, 113838, 3.83
13359, 113717, 3.59
1428, 113674, 3.54
1798, 113377, 3.97
5085, 113084, 3.97
10168, 111946, 3.04
11443, 111411, 4.05
14574, 110438, 3.46
17308, 110363, 3.53
1865, 110159, 3.7
10358, 109917, 3.18
17324, 109610, 3.88
9471, 109385, 3.69
1180, 108771, 3.97
886, 108606, 4.19
9960, 108528, 4.02
12966, 108354, 3.54
6974, 108343, 4.37
2913, 107443, 3.99
11077, 107345, 3.6
10359, 107111, 3.29
11314, 107094, 3.53
7635, 107083, 2.93
3925, 106807, 3.51
12293, 106327, 4.5
4577, 106291, 3.86
16139, 106285, 3.57
17627, 106238, 4.09
15393, 106211, 3.49
4356, 106020, 3.67
11182, 105861, 3.55
2122, 105697, 3.69
16082, 105518, 3.56
14644, 105045, 2.8
12299, 104800, 3.65
3825, 104632, 3.45
758, 104362, 3.51
17560, 104031, 3.84
5054, 103652, 3.53
11781, 103431, 4.15
11022, 103105, 3.59
15471, 103074, 3.1
11812, 102861, 4.16
4951, 102754, 3.74
15062, 102576, 3.8
16765, 102031, 3.6
11040, 101779, 3.96
6859, 101500, 3.51
2391, 101188, 3.3
12870, 101141, 4.46
4472, 101118, 3.69
12084, 101042, 3.35
12732, 100556, 3.68
9617, 100340, 3.52
6042, 100298, 3.04
607, 100248, 3.54
6475, 100112, 3.56
10730, 99910, 3.36
313, 99812, 3.69
15887, 99686, 3.27
13763, 99460, 3.8
8596, 99324, 4.13
12785, 99304, 3.89
15563, 99009, 3.42
14660, 98765, 3.38
191, 98720, 3.93
1110, 98700, 4.07
1470, 98696, 3.78
7745, 98116, 4.08
15788, 98002, 3.45
3917, 97939, 3.69
4972, 97491, 3.37
14999, 97165, 3.56
5939, 97112, 3.48
6196, 96778, 3.96
5181, 96602, 3.58
6797, 95472, 4.05
14928, 95335, 4.03
15844, 95095, 4.09
12338, 94041, 4.19
7281, 93391, 3.32
3756, 93241, 3.06
16128, 93202, 3.97
9592, 92691, 3.87
8687, 92671, 3.55
10378, 92555, 3.7
5582, 92470, 4.54
11607, 92345, 4.31
15394, 92294, 3.69
8764, 91369, 3.86
12343, 90675, 3.53
4043, 90591, 3.5
17154, 90472, 3.94
175, 90450, 4.0
5732, 90408, 4.28
4345, 90387, 3.78
13614, 90320, 4.08
10170, 90245, 3.49
483, 90010, 3.45
985, 89999, 3.63
11490, 89911, 3.73
9728, 89892, 3.89
2342, 89865, 3.86
8393, 89799, 3.76
16452, 89784, 3.89
3333, 89714, 3.26
16272, 89654, 3.9
5293, 89348, 3.94
5345, 89080, 3.58
9628, 88846, 4.46
13102, 88733, 3.23
7193, 88687, 4.3
6931, 88310, 3.31
14725, 88183, 3.45
14382, 88120, 3.8
11837, 88067, 3.25
7331, 87939, 3.28
13923, 87658, 3.75
2112, 87622, 3.52
2095, 87389, 3.56
2612, 87139, 3.41
8327, 87056, 4.28
6829, 86619, 3.62
15646, 85716, 3.28
10123, 85669, 3.26
6029, 85299, 4.12
16265, 85184, 4.5
4266, 85050, 3.75
17149, 84794, 3.39
14358, 84651, 4.17
6099, 84590, 3.98
2874, 83849, 3.55
3638, 83680, 3.53
13402, 83564, 3.88
15156, 83437, 3.65
6274, 83249, 4.09
6408, 82949, 3.85
8181, 82906, 3.26
8743, 82849, 3.85
16707, 82444, 3.7
14590, 82374, 3.67
12435, 81930, 3.88
16640, 81881, 2.99
10375, 81596, 3.57
15425, 81316, 3.76
798, 81278, 3.89
197, 81260, 3.48
7233, 81219, 4.17
12034, 81127, 4.06
10774, 81100, 3.89
10820, 80941, 4.12
5807, 80836, 3.55
8636, 80519, 3.27
16339, 80349, 3.31
6497, 80345, 3.23
2660, 80295, 4.03
15922, 80207, 3.95
2580, 80136, 3.55
7767, 80122, 3.91
9645, 79918, 3.36
13195, 79889, 3.7
1144, 79845, 3.96
16438, 79741, 3.7
6329, 79630, 3.76
12494, 79557, 3.52
5614, 79325, 3.78
9188, 79062, 3.24
2200, 78980, 3.02
13391, 78944, 3.68
1202, 78878, 3.77
9051, 78795, 3.86
4590, 78719, 3.34
5318, 78584, 3.6
12047, 78304, 3.35
3368, 78213, 3.53
6720, 77597, 3.86
357, 77314, 3.51
6350, 77021, 3.64
299, 76944, 3.71
7240, 76705, 3.34
5571, 76698, 3.77
14670, 76601, 3.71
14482, 76475, 3.78
14718, 76453, 3.28
5112, 75824, 3.51
5472, 75801, 3.54
10451, 75242, 3.74
3610, 75148, 3.81
3371, 75140, 3.91
7057, 74912, 4.7
3605, 74829, 4.17
9111, 74779, 3.87
5814, 74466, 2.99
1406, 74076, 3.41
7509, 73852, 3.39
3320, 73795, 3.59
7511, 73645, 3.64
7230, 73422, 4.72
12074, 73353, 4.05
1102, 73337, 3.57
14961, 73335, 4.72
17479, 73266, 3.53
7364, 73029, 3.82
1744, 73004, 3.82
9254, 72884, 4.01
8915, 72833, 4.0
17441, 72543, 3.67
708, 72381, 3.39
6510, 72379, 3.94
16922, 71951, 3.5
9049, 71639, 3.62
3290, 71614, 4.4
10906, 71555, 3.5
11265, 71441, 3.57
9886, 71143, 3.6
17339, 70959, 4.11
4545, 70799, 3.94
14215, 70712, 2.86
14050, 70467, 4.07
10928, 70452, 3.37
15048, 70370, 3.52
11152, 70341, 4.19
14780, 70269, 3.66
14109, 70176, 3.61
14909, 69665, 3.53
6030, 69249, 3.86
7937, 69056, 3.79
5924, 68818, 3.85
7397, 68615, 3.67
17129, 68419, 3.61
15472, 67967, 3.73
15058, 67860, 3.63
7904, 67795, 2.9
3079, 67575, 4.2
12605, 67311, 4.06
16286, 67177, 3.63
16343, 66577, 3.35
9882, 66395, 3.83
329, 66266, 3.59
15151, 65948, 3.53
9205, 65933, 3.32
15116, 65884, 4.0
2800, 65700, 3.48
5695, 65630, 3.14
312, 65477, 3.71
1754, 65363, 3.99
5628, 65317, 3.16
5226, 65185, 3.76
13255, 65074, 4.01
17764, 64957, 3.87
10607, 64917, 4.01
14667, 64742, 3.81
11279, 64590, 3.73
6428, 64555, 4.29
11173, 64281, 3.38
9426, 64175, 3.99
14869, 64161, 3.97
9818, 64065, 3.94
16390, 63731, 3.37
5154, 63666, 3.41
6205, 63307, 4.1
10225, 63219, 3.83
4330, 63042, 3.64
7032, 62963, 3.35
12881, 62955, 3.37
11398, 62906, 3.81
1799, 62809, 3.66
3254, 62628, 2.98
9189, 62604, 3.89
8846, 62547, 3.58
3905, 62457, 3.62
7399, 62296, 3.57
8832, 61758, 4.02
6555, 61695, 3.26
13582, 61694, 3.54
13705, 61575, 3.6
10625, 61447, 3.36
8079, 61353, 3.71
6615, 61274, 3.86
13748, 61249, 3.47
2186, 61174, 3.72
5762, 61093, 3.84
16792, 61087, 3.63
